antecedents_str,consequents_str,support,confidence,lift
"airpods, bluetooth headphones",energy drink,0.011265842591143795,0.35643564356435636,4.555960396039604
"airpods, energy drink",bluetooth headphones,0.011265842591143795,0.40223463687150834,4.5418402195155645
"bluetooth headphones, energy drink",airpods,0.011265842591143795,0.6153846153846153,4.197356538872014
energy drink,airpods,0.028008136441871383,0.35800000000000004,2.4418121664887944
bluetooth headphones,airpods,0.031606947269597875,0.35689045936395764,2.4342443178175595
iphone 10,airpods,0.02002816460647786,0.29157175398633256,1.9887247382354871
pancakes,airpods,0.01799405413863245,0.2725118483412322,1.8587227564021507
laptop,airpods,0.02284462525426381,0.2593250444049734,1.768779465093047
