antecedents_str,consequents_str,support,confidence,lift
"airpods, bluetooth headphones",energy drink,0.011237708756048072,0.3564356435643565,4.567366336633664
"airpods, energy drink",bluetooth headphones,0.011237708756048072,0.40223463687150834,4.553210809957163
"bluetooth headphones, energy drink",airpods,0.011237708756048072,0.6153846153846153,4.194435351882159
energy drink,airpods,0.027938192601841737,0.35800000000000004,2.440112765957447
bluetooth headphones,airpods,0.03152801623224598,0.3568904593639576,2.4325501841966766
iphone 10,airpods,0.01997814889964102,0.29157175398633267,1.9873406678621632
pancakes,airpods,0.017949118152021225,0.2725118483412322,1.857429162044973
laptop,airpods,0.022943655376931483,0.26063829787234044,1.7764995473064735
